Collection No.,Subfamily,L or R,LL,LI,LM,WI,WD,TP,TI,TD
153,Hippotraginae,,50.6,41.4,46.4,30.1,31.4,18.6,25.9,21.4
154,Hippotraginae,,47.7,37.6,43.3,27.4,28.7,17.3,25.4,20.4
155,Hippotraginae,,49.6,38.2,44.3,29.3,30.9,19.2,25,21.6
156,Hippotraginae,,55.1,44,51.2,37,37.8,23,29.6,25
157,Hippotraginae,,52.4,43.2,49.7,28.7,33.1,22,27.3,23.3
158,Hippotraginae,,54,43.4,51.7,32.2,33.7,20.8,26.8,23.3
159,Hippotraginae,,53,41.6,50,33.3,35,22.9,28.4,23.9
160,Reduncinae,,62.4,49.5,57.7,35.5,36.8,23.3,30.9,25.9
161,Reduncinae,,62.5,51.7,58.8,35.6,37,23.3,31.2,26.3
162,Reduncinae,,60.5,48,55.8,33.11,35.9,22.4,30.2,25.6
163,Reduncinae,,58.5,47.3,53.8,33.4,34.9,22.8,30.3,24.6
164,Reduncinae,,55.3,44.3,51.4,31.9,33.8,20.9,28.5,25
165,Reduncinae,,59.5,47.1,54.7,32.3,35.8,23.4,30.4,24.2
166,Reduncinae,,45.2,36.7,42.5,25.3,26.1,15.2,21.6,18.6
167,Reduncinae,,45.7,37,43.3,26.5,27.4,15.6,23.3,19.5
168,Reduncinae,,44.6,35.6,41.2,25.1,26.5,16.5,21.7,20
169,Reduncinae,,43.6,36.7,41.1,26.4,26.8,17,23,18.9
170,Reduncinae,,42.8,34.8,39.5,23.4,25,15.6,20.5,18
171,Reduncinae,,46.9,37.8,44.6,26.8,27.6,17.4,22.2,19.4
172,Reduncinae,,42.9,35.6,41.1,23.6,24.6,15.6,21.3,20
173,Reduncinae,,43.3,35,40.6,24.8,25.7,15.3,22,18.9
174,Reduncinae,,45.1,36.5,42.3,24.3,26.2,16.8,22.6,18.3
175,Reduncinae,,42.5,35.4,40.8,24.8,25.5,15.3,21.3,18.7
176,Reduncinae,,45.6,37.6,44.2,25.4,27.1,15.9,23.3,20.7
177,Reduncinae,,40.7,32.7,37.5,24.4,25.5,16.9,20.9,17.8
178,Reduncinae,,40.6,31.7,37.3,22.4,23.3,14.1,19.9,16.8
179,Reduncinae,,40,30.4,36.4,23.7,24,14,19.8,16.4
180,Reduncinae,,41.8,32.6,37.7,25.6,24.3,14.6,20.8,16.3
181,Reduncinae,,42,33.9,39.2,24.1,25.2,15,21.9,18.5
182,Reduncinae,,32.4,26.8,30.5,19.2,19.5,11.8,16.3,13.7
183,Reduncinae,,30.8,25.6,29.1,17.2,18.1,11.7,14.4,12.7
184,Reduncinae,,31,24.2,28.9,17.3,18.2,11.4,15.6,12.8
185,Reduncinae,,31,24.5,28.5,17.5,18.2,11.2,14.9,13.1
186,Reduncinae,,30.5,23.9,28.3,18,18.2,11.4,14.7,14.1
187,Reduncinae,,31.3,25,29.2,18,18.3,11.4,15.6,13.9
188,Reduncinae,,32.7,25.9,30.9,19.8,20.5,12.2,15.9,13
189,Reduncinae,,36.2,29.1,33.4,22.3,21.4,13.4,18.4,16.2
190,Reduncinae,,36.4,29.7,35,21.3,21,13.8,18.3,14.3
191,Reduncinae,,39,30.7,35.1,23.7,22.1,13.3,19.1,16.9
192,Reduncinae,,37.1,29.9,34.3,20.5,19.8,12.3,18,16.3
12P4A,,L,32.7,26.82,30.11,18.24,19.35,10.95,16.32,14.4
20P5A,,R,36.8,30.5,33.74,21.1,20.85,13.16,17.6,16.38
27P5A,,L,34.44,27.7,32.88,18.72,16.59,13.12,16.54,
44P10,,R,45.62,38.27,44.14,,29.57,16.53,,
58P11A,,R,34.16,27.62,31.72,19.21,20.29,13.08,17.44,15.53
86P11A,,L,32.56,26.45,31.13,18.83,19.5,12.34,16.53,13.7
87P11A,,R,27.75,22.53,26.32,15.6,16.29,10.56,14.47,
128P11A,,L,,22.07,,,14.46,10,13.41,13.93
166P11A,,L,,41.48,,,,50.4,17.23,24.66
1P12A,,R,28.52,22.55,26.91,16.62,17.35,11.93,15.1,14.4
6P14A,,R,30.14,25.1,28.53,16.48,17.82,10.2,16.12,15.41
20P14A,,L,33.7,26.65,30.86,19.52,19.1,12.17,17.56,17.83
30P14A,,L,34.5,27.8,31.83,20.22,20.42,11.3,17.4,
33P14A,,L,32.15,25.7,28.66,16.84,18.26,9.25,15.36,14.85
57P16B,,L,,25.14,30.17,,,,,
93P16B,,L,,25.64,29.3,17.92,19.62,,17.73,
100P16B,,L,37.5,28.56,32.94,21.09,21.95,11.15,19.09,16.88
141P16A,,R,30.4,24.42,27.34,14.95,16,9.11,14.14,14.29
276P16A,,L,27.37,21.55,25.17,,14.42,7.07,13.83,
65P17A,,L,,26.3,31.65,19.56,19.78,11.06,15.6,
66P17A,,L,47.83,37.91,44.61,26.71,30.76,16.68,25.75,21.76
67P17A,,L,33.24,26.68,30.17,18.5,19.09,10.8,17.55,14.69
1P21A,,R,,,32.23,20.06,20.97,,17.06,14.48
2P21A,,R,31.17,26.4,30.23,,,10.54,15.38,14.6
12P22A,,L,50.1,39.96,46.55,28.57,32.66,16.81,27.74,24.9
1P23A,,L,34.67,27.62,31.51,18.88,20.03,11.03,17.22,15.75
11P24A,,L,30.54,25.08,29.34,15.84,16.74,,16.3,
13P24A,,R,33.03,27.41,32.12,19.26,19.53,12.37,17.47,16.34
14P24A,,R,34.47,28.12,32.55,19.75,20,13.11,19.1,15.9
72P24,,R,18.6,15.97,17.59,12.49,11.06,6.98,9,7.24
74P24,,R,35.63,29.89,34.06,20.52,22,13.9,19,17.48
75P24,,R,36.75,30.26,33.27,22.81,21.14,13.62,19.75,17.51
81P24,,R,32.15,26.95,30.78,18,19.21,12.35,16.44,13.9
82P24,,R,33.24,27.1,31.89,18.6,19.52,12.83,17.57,14.86
9P25A,,L,33.11,27.35,30.77,20.23,20.07,9.81,17.04,14.63
23P25B,,L,,22.98,26.71,15.88,17.3,9.51,15.12,
33P25A,,R,48.59,40.56,47.03,25.73,31.49,10.35,26.33,23.72
37P25A,,R,33.77,27.17,,18.41,19.44,12.02,17.29,15.56
44P25A,,R,,,30.33,,19.35,12.85,18.68,14.19
81P25A,,R,34.11,27.83,30.22,18.5,19.01,12.58,16.86,15.3
86P25A,,R,54.45,45.7,51.73,28.54,32.15,17.92,27.6,26.1
164P25,,L,33.08,27.44,31.2,18.92,20.5,10.8,17.14,15.25
165P25,,R,36.61,29.15,33.61,20.79,21.41,12,17.8,
23P26A,,R,50.31,41.94,48.25,28.27,,18.04,26.2,
31P28B,,L,37.5,30.26,34.67,20.71,20.1,,17.92,
38P28A,,L,33.71,26.88,31.02,20.89,20.66,12.2,17.96,
44P28A,,L,47.86,39.25,45.38,25.65,29.61,16.13,25.19,21.64
52P28A,,L,32.83,16.26,30.34,18.83,19.92,11.43,17.25,15.64
75P28A,,R,32.5,27.3,29.82,17.8,19.49,10.73,16.01,13.86
115P28A,,L,53.18,42.78,50.4,28.72,32.02,15.77,26.5,21.65
126P28B,,L,28.04,23.41,26.83,,15.4,10.87,14.65,
140P28A,,L,31.15,24.77,28.88,18.4,18.42,10.76,17.25,14.75
141P28A,,L,33.98,28.37,31.78,18.95,20,11.7,18.06,16.9
142P28A,,L,47.1,37.56,44.42,29.8,30.1,16.66,24.2,20.06
143P28A,,R,,27.76,47.81,31.51,31.32,18.1,,
144P28A,,L,51.97,43.52,49.29,28.23,33.06,18.08,27.41,21.83
145P28A,,R,,,50.8,,,,,
213P28A,,R,30.79,25.61,28.77,18.23,18.89,10.26,12.9,11.29
295P28A,,R,32.05,26.9,30.92,17.79,19.53,10.47,16.94,14.4
344P28A,,L,,25.64,30.64,,18.08,,,12.37
353P28A,,L,36.07,29.02,32.78,20.28,20.6,12,19.1,14
433P28A,,L,36.86,29.17,32.82,19.71,21.2,12.26,18.76,16
501P28A,,L,35.14,28.53,32.13,20.8,21.5,12.3,19.44,15.76
2P30A,,R,32.09,27.5,30.16,18.24,19.74,9.8,16.22,14.34
19P30A,,L,,27,29.9,18.23,18.67,11.67,16.87,
20P30,,R,29.77,26.82,30.8,18.11,19.67,11.28,15.53,
44P30A,,R,32.26,26,30.56,17.8,19.7,11.74,16.2,14.11
27P31A,,R,50.54,41.6,,27.97,32.4,17.44,24.4,22.28
